direction,geneID,gene_count,rank,gene_description,treatgo_descriptions,logFC,P.Value,chr
Up,Prkn,42,1,parkin RBR E3 ubiquitin protein ligase,ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; cellular component disassembly; proteasome-mediated ubiquitin-dependent protein catabolic process; negative regulation of protein modification process; response to oxidative stress; regulation of apoptotic signaling pathway; regulation of protein catabolic process; negative regulation of organelle organization; vesicle organization; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; macroautophagy; regulation of protein stability; purine ribonucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; regulation of autophagy; ribonucleotide biosynthetic process; ATP metabolic process; monosaccharide metabolic process; purine ribonucleotide biosynthetic process; regulation of post-translational protein modification; hexose metabolic process; regulation of protein modification by small protein conjugation or removal; regulation of proteolysis involved in protein catabolic process; mitochondrial transport; regulation of proteasomal protein catabolic process; organelle disassembly; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; regulation of mitochondrion organization; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process; apoptotic mitochondrial changes; protein localization to mitochondrion,0.401372232,0.3836,17
Up,Vcp,40,2,valosin containing protein,generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; cellular component disassembly; proteasome-mediated ubiquitin-dependent protein catabolic process; energy derivation by oxidation of organic compounds; regulation of protein catabolic process; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; cellular respiration; macroautophagy; purine ribonucleoside triphosphate metabolic process; Golgi vesicle transport; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; ribonucleotide biosynthetic process; ATP metabolic process; aerobic respiration; endosomal transport; purine ribonucleotide biosynthetic process; regulation of post-translational protein modification; regulation of protein modification by small protein conjugation or removal; protein-RNA complex organization; regulation of proteolysis involved in protein catabolic process; pyridine-containing compound metabolic process; oxidative phosphorylation; pyridine nucleotide metabolic process; nicotinamide nucleotide metabolic process; regulation of proteasomal protein catabolic process; organelle disassembly; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process,0.111652316,0.1352,4
Up,Ndufa13,38,3,NADH:ubiquinone oxidoreductase subunit A13,generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; establishment of protein localization to organelle; energy derivation by oxidation of organic compounds; regulation of apoptotic signaling pathway; regulation of protein catabolic process; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; protein targeting; ribonucleoside triphosphate metabolic process; cellular respiration; purine ribonucleoside triphosphate metabolic process; establishment of protein localization to membrane; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; ribonucleotide biosynthetic process; ATP metabolic process; aerobic respiration; purine ribonucleotide biosynthetic process; mitochondrial transport; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process; mitochondrial membrane organization; protein localization to mitochondrion; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly,0.291975966,0.5,8
Up,Akt1,36,4,thymoma viral proto-oncogene 1,generation of precursor metabolites and energy; ncRNA processing; establishment of protein localization to organelle; proteasome-mediated ubiquitin-dependent protein catabolic process; energy derivation by oxidation of organic compounds; negative regulation of protein modification process; response to oxidative stress; regulation of amide metabolic process; regulation of apoptotic signaling pathway; regulation of protein catabolic process; protein localization to cell periphery; small molecule catabolic process; negative regulation of organelle organization; nucleocytoplasmic transport; nuclear transport; cellular respiration; protein localization to nucleus; protein localization to plasma membrane; regulation of autophagy; monosaccharide metabolic process; aerobic respiration; tRNA metabolic process; regulation of post-translational protein modification; hexose metabolic process; regulation of protein modification by small protein conjugation or removal; organic acid catabolic process; carboxylic acid catabolic process; regulation of proteolysis involved in protein catabolic process; mitochondrial transport; regulation of proteasomal protein catabolic process; RNA modification; tRNA processing; regulation of mitochondrion organization; apoptotic mitochondrial changes; protein localization to mitochondrion; tRNA modification,0.128132355,0.5332,12
Up,Flcn,33,5,folliculin,generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; negative regulation of protein modification process; regulation of apoptotic signaling pathway; negative regulation of organelle organization; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; cellular respiration; protein localization to nucleus; purine ribonucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; regulation of autophagy; ribonucleotide biosynthetic process; ATP metabolic process; purine ribonucleotide biosynthetic process; regulation of post-translational protein modification; pyridine-containing compound metabolic process; pyridine nucleotide metabolic process; nicotinamide nucleotide metabolic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; regulation of mitochondrion organization; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process,0.002976064,0.9784,11
Up,Ndufa12,31,6,NADH:ubiquinone oxidoreductase subunit A12,generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; response to oxidative stress; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; cellular respiration; purine ribonucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; ribonucleotide biosynthetic process; ATP metabolic process; aerobic respiration; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly,0.181279113,0.5036,10
Up,Ndufa6,31,7,NADH:ubiquinone oxidoreductase subunit A6,generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; response to oxidative stress; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; cellular respiration; purine ribonucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; ribonucleotide biosynthetic process; ATP metabolic process; aerobic respiration; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly,0.154775136,0.5168,15
Up,Ndufb4,31,8,NADH:ubiquinone oxidoreductase subunit B4,generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; response to oxidative stress; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; cellular respiration; purine ribonucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; ribonucleotide biosynthetic process; ATP metabolic process; aerobic respiration; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly,0.042525404,0.856,16
Up,Ndufs2,31,9,NADH:ubiquinone oxidoreductase core subunit S2,generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; response to oxidative stress; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; cellular respiration; purine ribonucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; ribonucleotide biosynthetic process; ATP metabolic process; aerobic respiration; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly,0.1045351,0.202,1
Up,Ndufs3,31,10,NADH:ubiquinone oxidoreductase core subunit S3,generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; regulation of apoptotic signaling pathway; nucleoside triphosphate metabolic process; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; cellular respiration; purine ribonucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; ribose phosphate biosynthetic process; purine nucleotide biosynthetic process; ribonucleotide biosynthetic process; ATP metabolic process; aerobic respiration; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly,0.144141213,0.5024,2
