"direction","geneID","gene_count","rank","gene_description","treatgo_descriptions","logFC","P.Value","chr"
"Up","Npm1",35,1,"nucleophosmin 1","ribonucleoprotein complex biogenesis; RNA splicing; ncRNA processing; ribosome biogenesis; establishment of organelle localization; regulation of amide metabolic process; regulation of cell cycle phase transition; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; response to radiation; non-membrane-bounded organelle assembly; negative regulation of protein modification process; negative regulation of organelle organization; regulation of translation; regulation of mRNA metabolic process; regulation of protein stability; nucleocytoplasmic transport; nuclear transport; positive regulation of DNA metabolic process; rRNA metabolic process; protein localization to nucleus; RNA catabolic process; rRNA processing; DNA replication; mRNA catabolic process; regulation of microtubule-based process; regulation of post-translational protein modification; regulation of RNA splicing; regulation of protein modification by small protein conjugation or removal; regulation of organelle assembly; protein stabilization; regulation of mRNA processing; ribosomal small subunit biogenesis; regulation of mRNA splicing, via spliceosome",0.015578371432249,0.9084,"11"
"Up","Akt1",34,2,"thymoma viral proto-oncogene 1","ncRNA processing; establishment of protein localization to organelle; generation of precursor metabolites and energy; proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of amide metabolic process; mitotic cell cycle phase transition; regulation of cell cycle phase transition; response to radiation; negative regulation of protein modification process; cilium organization; regulation of apoptotic signaling pathway; negative regulation of organelle organization; protein localization to cell periphery; regulation of protein catabolic process; regulation of translation; response to oxidative stress; cilium assembly; energy derivation by oxidation of organic compounds; nucleocytoplasmic transport; nuclear transport; positive regulation of DNA metabolic process; protein localization to nucleus; regulation of mitotic cell cycle phase transition; intrinsic apoptotic signaling pathway; cellular respiration; tRNA metabolic process; regulation of post-translational protein modification; regulation of protein modification by small protein conjugation or removal; aerobic respiration; regulation of organelle assembly; mitochondrial transport; RNA modification; tRNA processing; tRNA modification",-0.0921861534933317,0.5716,"12"
"Up","Trp53",31,3,"transformation related protein 53","ncRNA processing; establishment of protein localization to organelle; cellular component disassembly; generation of precursor metabolites and energy; regulation of amide metabolic process; mitotic cell cycle phase transition; regulation of cell cycle phase transition; response to radiation; regulation of apoptotic signaling pathway; negative regulation of organelle organization; response to oxidative stress; regulation of protein stability; energy derivation by oxidation of organic compounds; nucleocytoplasmic transport; nuclear transport; rRNA metabolic process; double-strand break repair; protein localization to nucleus; regulation of mitotic cell cycle phase transition; intrinsic apoptotic signaling pathway; regulation of chromosome organization; DNA replication; response to endoplasmic reticulum stress; protein stabilization; DNA-templated transcription initiation; mitochondrial transport; telomere organization; telomere maintenance; organelle disassembly; transcription initiation at RNA polymerase II promoter; regulation of telomere maintenance",0.218893645271013,0.024,"11"
"Up","Myc",27,4,"myelocytomatosis oncogene","cellular component disassembly; generation of precursor metabolites and energy; mitotic cell cycle phase transition; ribose phosphate metabolic process; ribonucleotide metabolic process; response to radiation; purine ribonucleotide metabolic process; regulation of apoptotic signaling pathway; energy derivation by oxidation of organic compounds; positive regulation of DNA metabolic process; intrinsic apoptotic signaling pathway; cellular respiration; regulation of chromosome organization; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; aerobic respiration; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; DNA-templated transcription initiation; telomere organization; telomere maintenance; oxidative phosphorylation; transcription initiation at RNA polymerase II promoter; regulation of telomere maintenance",-0.0371232430172324,0.838,"15"
"Up","Prkn",27,5,"parkin RBR E3 ubiquitin protein ligase","cellular component disassembly; proteasome-mediated ubiquitin-dependent protein catabolic process; establishment of organelle localization; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; negative regulation of protein modification process; regulation of apoptotic signaling pathway; negative regulation of organelle organization; regulation of protein catabolic process; response to oxidative stress; regulation of protein stability; regulation of supramolecular fiber organization; intrinsic apoptotic signaling pathway; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; regulation of post-translational protein modification; response to endoplasmic reticulum stress; regulation of protein modification by small protein conjugation or removal; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; protein stabilization; mitochondrial transport; organelle disassembly",-0.461651778709643,0.2456,"17"
"Up","Pml",26,6,"promyelocytic leukemia","establishment of protein localization to organelle; proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of amide metabolic process; mitotic cell cycle phase transition; regulation of cell cycle phase transition; response to radiation; regulation of apoptotic signaling pathway; negative regulation of organelle organization; regulation of translation; response to oxidative stress; regulation of protein stability; nucleocytoplasmic transport; nuclear transport; positive regulation of DNA metabolic process; double-strand break repair; protein localization to nucleus; regulation of mitotic cell cycle phase transition; intrinsic apoptotic signaling pathway; protein targeting; regulation of chromosome organization; regulation of DNA repair; response to endoplasmic reticulum stress; protein stabilization; telomere organization; telomere maintenance; regulation of telomere maintenance",-0.0247181782459323,0.6408,"9"
"Up","Prkdc",26,7,"protein kinase, DNA activated, catalytic polypeptide","ribonucleoprotein complex biogenesis; ncRNA processing; ribosome biogenesis; regulation of amide metabolic process; mitotic cell cycle phase transition; regulation of cell cycle phase transition; response to radiation; non-membrane-bounded organelle assembly; negative regulation of protein modification process; regulation of translation; regulation of protein stability; positive regulation of DNA metabolic process; rRNA metabolic process; double-strand break repair; regulation of mitotic cell cycle phase transition; DNA recombination; intrinsic apoptotic signaling pathway; rRNA processing; regulation of DNA repair; protein-RNA complex organization; protein-RNA complex assembly; telomere organization; telomere maintenance; positive regulation of DNA repair; ribosomal small subunit biogenesis; ribosome assembly",-0.207177035075549,0.4396,"16"
"Up","Hnrnpu",25,8,"heterogeneous nuclear ribonucleoprotein U","RNA splicing; establishment of organelle localization; regulation of amide metabolic process; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; non-membrane-bounded organelle assembly; chromosome segregation; negative regulation of organelle organization; regulation of translation; regulation of mRNA metabolic process; protein localization to nucleus; RNA catabolic process; regulation of chromosome organization; mRNA catabolic process; regulation of microtubule-based process; regulation of RNA splicing; regulation of organelle assembly; cytoplasmic translation; telomere organization; RNA localization; telomere maintenance; regulation of mRNA processing; regulation of mRNA splicing, via spliceosome; regulation of telomere maintenance",0.0647200095006983,0.4508,"1"
"Up","Snca",25,9,"synuclein, alpha","generation of precursor metabolites and energy; establishment of organelle localization; regulation of amide metabolic process; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; negative regulation of protein modification process; negative regulation of organelle organization; protein localization to cell periphery; regulation of protein catabolic process; response to oxidative stress; regulation of protein stability; energy derivation by oxidation of organic compounds; regulation of supramolecular fiber organization; cellular respiration; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; regulation of microtubule-based process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; aerobic respiration; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; oxidative phosphorylation",0.0387814340628605,0.8136,"6"
"Up","Exosc10",24,10,"exosome component 10","ribonucleoprotein complex biogenesis; RNA splicing; ncRNA processing; ribosome biogenesis; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; negative regulation of organelle organization; regulation of mRNA metabolic process; rRNA metabolic process; RNA catabolic process; rRNA processing; regulation of chromosome organization; tRNA metabolic process; mRNA catabolic process; regulation of RNA splicing; telomere organization; RNA localization; telomere maintenance; regulation of mRNA processing; ribosomal small subunit biogenesis; regulation of mRNA splicing, via spliceosome; regulation of telomere maintenance; RNA 3'-end processing",-0.0339457296916699,0.6352,"4"
